level,name,n_groups,SeasonalNaive,FLAR_V5,FLAR_V7
1,Total,1,0.751430066763917,2.428602023526966,0.8010995197594182
2,State,3,0.7455067073203738,2.234708186416551,0.7851490703588277
3,Store,10,0.7737980799924615,2.122783116004122,0.8054569995701575
4,Category,3,0.7653127056371299,2.3325181172780147,0.8194443152910982
5,Department,7,0.8053640441913045,2.2954377995899686,0.8491674643421951
6,State*Cat,9,0.767362756411619,2.1087117957169954,0.8133743084967794
7,State*Dept,21,0.8015710196399392,2.0441835081672894,0.8414874093784779
8,Store*Cat,30,0.8106726985309086,1.9281333834210015,0.8506805958339346
9,Store*Dept,70,0.8532854066754302,1.8070173294167715,0.8820128812245621
10,Item,3049,1.0574820971044367,1.1473810978244035,1.0770588000303114
11,State*Item,9147,1.0688738796587884,0.9875071609253536,1.0657560609656183
12,Item*Store,30490,1.0600502521085295,0.8802058206044812,1.0446281683786476
Avg,Overall,-,0.8550591428362365,1.859765778240993,0.8862762994691691
