config,dataset,freq,period,n_series,rank1_median,rank1_mean,rank1_p10,rank1_p90,relMASE,level_acf1_median,level_acf1_mean,level_acf1_p10,level_acf1_p90
bitbrains_fast_storage/5T/short,bitbrains_fast_storage,5T,12,45000,0.9545368456737768,0.8697575330447724,0.6060812202468918,0.996276486494366,0.9073953035648272,0.67432276363176,0.5758566869334515,0.0774916841930226,0.9099804458215841
bitbrains_fast_storage/H/short,bitbrains_fast_storage,H,24,5000,0.966898937006792,0.8998306623910108,0.7056433969288112,0.9989364580584296,1.039320795701553,0.417078684705917,0.42484662821503244,0.01731418281601212,0.8362206362650476
bitbrains_rnd/5T/short,bitbrains_rnd,5T,12,18000,0.948935128056788,0.8839597138071372,0.644897936860497,0.9963232328772034,0.966913832180044,0.6813459979986178,0.5906680375838786,0.046058966363753256,0.9696744067874942
bitbrains_rnd/H/short,bitbrains_rnd,H,24,2000,0.9696110652715646,0.892207685512385,0.6603780431112463,0.9978938591263804,1.1230688415567884,0.306528360321352,0.35383370425354366,0.00048108674558410946,0.8119793468231603
bizitobs_l2c/5T/short,bizitobs_l2c,5T,12,140,0.9972664040602576,0.9970520049815584,0.9937177310503942,0.9991309532740804,0.4337067517306575,0.9778547469717136,0.9811475549284091,0.9735829576214677,0.9930119373380498
bizitobs_l2c/H/short,bizitobs_l2c,H,24,42,0.8656874323202082,0.9028614422888526,0.8322466042329404,0.9908575265240492,0.4579733374412698,0.36160703860020804,0.1575008866442411,-0.28085609453275073,0.4134841857437569
covid_deaths/D/short,covid_deaths,D,7,266,0.999095152606797,0.9983870276578998,0.9968405644844254,1.0,1.034303314360087,0.8821258973738014,0.8420584817346566,0.7101561064090957,0.9357068243883171
electricity/15T/short,electricity,15T,4,7400,0.9895128852193388,0.9772183487525844,0.9659821673076356,0.9951173346648506,0.8361943565735822,0.9619481953112179,0.9312331845393198,0.837075981569378,0.993175426408808
electricity/D/short,electricity,D,7,1850,0.9967002930257725,0.9916829908689898,0.9851528411435216,0.998609605890184,0.9282790988380424,0.9562774390968172,0.9317605378772661,0.8568905183818775,0.9795975338514405
electricity/H/short,electricity,H,24,7400,0.9895715349029968,0.9784154531701136,0.9640336875681622,0.99559300191927,0.8621399456455076,0.9598607853933705,0.927844898243606,0.8363253181342517,0.9851962992595756
ett1/15T/short,ett1,15T,4,140,0.9961517371852788,0.9938117050864248,0.9821119501927186,0.999678870086922,0.7967650259779429,0.9232338192854885,0.9078377308394208,0.7571529874401699,0.9958915648082455
ett1/D/short,ett1,D,7,21,0.985084348252518,0.9806265046356156,0.9655771123397568,0.9879599885047764,1.0418598048157253,0.7655252179800854,0.7788018975440695,0.6878584211608526,0.9319754762756493
ett1/H/short,ett1,H,24,140,0.9895067326743744,0.9837982824777138,0.9608112040845966,0.9949029105914764,0.9789314918399372,0.908743303386138,0.8575513594025951,0.7415134522566811,0.9651686921259203
ett2/15T/short,ett2,15T,4,140,0.995037631657469,0.9960376641090868,0.9923267286226256,0.9998597866378652,0.7716664286779702,0.9507176477370345,0.9478313188703356,0.871936191852399,0.9946312568571909
ett2/D/short,ett2,D,7,21,0.9884075904128656,0.989238548461566,0.9848232194383224,0.996693065520702,1.2296902352965122,0.8779315357901913,0.8707499516294627,0.8014510233402989,0.9274974525497325
ett2/H/short,ett2,H,24,140,0.9950148847394158,0.9950448757315606,0.992657182567958,0.9993702797708564,0.9199313217848254,0.9568111753150208,0.9466298643421219,0.8718128702166458,0.9811853169192832
hierarchical_sales/D/short,hierarchical_sales,D,7,826,0.7773758436588074,0.7671410311259441,0.6820035833276689,0.8280593035378603,0.6727861409396413,0.36011715092955976,0.3630453002252178,0.2003572003244014,0.5575619329543122
hospital/M/short,hospital,M,12,767,0.9769801948599344,0.9718276119578156,0.9391094773099748,0.9976935275097268,0.921157378911976,0.1969415584355943,0.15887572555863616,-0.24742419656173814,0.5229069246517138
jena_weather/10T/short,jena_weather,10T,6,420,0.9996782698092216,0.9516830568228132,0.9114165697156952,0.9999704105737306,0.4654931131446806,0.9026089520802398,0.7989527351142014,0.4296802004566624,0.9941966933631037
jena_weather/D/short,jena_weather,D,7,42,0.9774611725614316,0.9476203965217128,0.9170330084041904,0.999882341922873,0.9823746139143568,0.817869144355114,0.5776254698203497,-0.021813613224175254,0.8634212088080627
jena_weather/H/short,jena_weather,H,24,399,0.991227476908731,0.95055725597141,0.9372391627187496,0.9998240562261096,1.022678862496953,0.7800978699785759,0.6571220010423635,0.0015292728545485382,0.9152631015234977
kdd_cup_2018/D/short,kdd_cup_2018,D,7,540,0.8492607480290173,0.8305326065894474,0.7008719811093341,0.9351169331626564,0.8472076674883944,0.4235309358632844,0.4228084023504104,0.12631788873591282,0.7383781239853546
kdd_cup_2018/H/short,kdd_cup_2018,H,24,5400,0.8643035968799346,0.8490389436951005,0.7362096749233228,0.9363578237291053,0.8206910281363353,0.6132816080374233,0.6248175467767637,0.48447389232949767,0.768109876433967
loop_seattle/5T/short,loop_seattle,5T,12,6460,0.9947321796806782,0.9939113404802332,0.9888634393619224,0.9975449191819392,0.8796681972488727,0.7920139216168032,0.7708570161703797,0.6647465431494546,0.851746619909594
loop_seattle/D/short,loop_seattle,D,7,646,0.9988587286281616,0.9985221150637388,0.9968304300439566,0.999598217894607,0.5278014699617023,0.2934252894439495,0.30488014432196864,-0.006353637788571335,0.6600100628853116
loop_seattle/H/short,loop_seattle,H,24,6137,0.991628765698824,0.9896484472036708,0.9785819636280028,0.997452529411277,0.7387890752899156,0.29317376746136214,0.3095508706835385,0.012529829235661831,0.649481181880162
m4_daily/D/short,m4_daily,D,7,4227,0.9997769330661008,0.9994576198071876,0.9993882947524114,0.9999153406513548,1.4265136470697817,0.9842842733762531,0.9383742361769102,0.8283581918929245,0.9938363698303617
